,genre,duration,nationality,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris,season,is_holiday,proportion_stars_actors,proportion_stars_producers,proportion_stars_director,distributor_avg_frequency
2445,"Drame, Policier",85,France,225575,3.3,3.7,1657290.0,0.0,22.2,20.99,25.29,21.41,18.33,Summer,False,0.0,0.5,1,150.0
2446,Drame,101,U.S.A.,5908,3.5,3.4,225266.0,0.0,23.04,17.69,20.64,22.67,20.2,Summer,True,0.0,0.0,0,83.0
2447,"Science fiction, Action, Thriller",111,U.S.A.,12880,2.6,3.1,478325.0,32000000.0,22.56,20.71,22.11,22.42,19.57,Summer,True,0.33,0.0,0,243.0
2448,"Famille, Fantastique, Aventure",120,Grande-Bretagne,55705,3.1,2.3,240381.0,59000000.0,9.97,9.15,10.83,9.86,5.03,Spring,True,0.33,0.0,0,165.0
2449,Drame,80,France,32198,3.8,3.6,277849.0,0.0,23.0,17.82,22.75,21.66,16.76,Autumn,False,0.0,0.0,0,76.0
2450,"Drame, Fantastique, Epouvante-horreur",116,Norvège,22109,3.3,3.4,577039.0,5741614.0,15.39,6.58,8.51,7.84,7.0,Autumn,False,0.0,0.0,0,207.0
2451,"Drame, Fantastique, Science fiction",94,France,9556,3.3,3.6,514268.0,0.0,13.36,12.78,14.6,13.4,14.04,Spring,False,0.0,0.0,0,134.0
2452,Biopic,103,Finlande,2306,2.8,3.1,70761.0,4243000.0,4.54,3.35,4.17,2.44,3.75,Spring,True,0.0,0.0,0,26.0
2453,Comédie,100,France,443169,3.2,2.5,810683.0,0.0,17.98,11.27,13.7,10.95,10.0,Autumn,True,0.67,0.0,0,150.0
2454,Drame,91,U.S.A.,91336,3.2,3.5,1152927.0,21000000.0,18.14,14.46,19.08,20.4,15.78,Spring,False,0.33,0.0,0,142.0
2455,"Drame, Comédie",97,France,38665,3.8,3.4,364984.0,0.0,8.44,9.35,11.23,9.15,8.47,Winter,False,0.33,0.0,0,134.0
2456,"Animation, Aventure, Comédie",105,France,39222,3.7,4.0,648349.0,10000000.0,20.59,13.48,15.21,13.37,15.9,Autumn,False,0.33,0.0,0,161.0
2457,Comédie,90,France,8310,2.3,2.5,1315690.0,0.0,20.99,17.87,19.95,19.85,18.27,Summer,True,0.0,0.0,0,156.0
2458,Comédie,107,France,38552,3.4,2.1,412651.0,0.0,24.56,19.41,25.31,28.82,23.28,Summer,False,0.0,0.0,0,207.0
2459,"Guerre, Fantastique, Drame",100,France,18127,3.7,3.1,376795.0,0.0,18.23,11.58,14.98,12.74,11.83,Autumn,False,0.0,0.0,0,127.0
2460,"Action, Thriller",107,U.S.A.,156206,2.6,3.2,623588.0,30000000.0,2.41,-0.84,4.75,1.18,2.96,Winter,False,0.33,0.0,0,258.0
